t,o,c,h,l,v
2011-02-25,1.5206666666666666,1.574,1.59,1.5126666666666668,1346300.0
2011-02-28,1.5826666666666664,1.5926666666666667,1.6066666666666667,1.5666666666666667,1051200.0
2011-03-01,1.6033333333333333,1.596,1.6213333333333333,1.5799999999999998,1106400.0
2011-03-02,1.588,1.6013333333333333,1.6186666666666667,1.5816666666666668,663300.0
2011-03-03,1.632,1.6239999999999999,1.6526666666666665,1.6039999999999999,640200.0
2011-03-04,1.632,1.6633333333333333,1.666,1.5853333333333335,1580100.0
2011-03-07,1.662,1.6626666666666667,1.6933333333333331,1.6466666666666665,2033600.0
2011-03-08,1.6400000000000001,1.644,1.664,1.6,1399900.0
2011-03-09,1.644,1.648,1.666,1.6179999999999999,924800.0
2011-03-10,1.6293333333333333,1.6006666666666667,1.6326666666666665,1.582,1017000.0
2011-03-11,1.59,1.6046666666666667,1.6166666666666667,1.5686666666666667,930800.0
2011-03-14,1.588,1.55,1.6,1.5466666666666666,1166000.0
2011-03-15,1.48,1.53,1.5306666666666666,1.4533333333333334,1318800.0
2011-03-16,1.524,1.5213333333333334,1.55,1.5126666666666668,1169700.0
2011-03-17,1.5493333333333332,1.5206666666666666,1.562,1.5093333333333334,922600.0
2011-03-18,1.546,1.5306666666666666,1.546,1.5006666666666668,687900.0
2011-03-21,1.5366666666666666,1.5153333333333334,1.5366666666666666,1.5026666666666666,411700.0
2011-03-22,1.5153333333333334,1.4793333333333334,1.524,1.4666666666666666,582900.0
2011-03-23,1.474,1.4806666666666668,1.4846666666666666,1.4513333333333334,422800.0
2011-03-24,1.476,1.4886666666666666,1.492,1.4653333333333334,462200.0
2011-03-25,1.4953333333333334,1.5166666666666666,1.5333333333333332,1.4933333333333332,568000.0
2011-03-28,1.5133333333333332,1.55,1.5692533333333332,1.5033333333333334,1058100.0
2011-03-29,1.5533333333333335,1.5946666666666667,1.6,1.5473333333333334,755400.0
2011-03-30,1.6073333333333333,1.5806666666666667,1.6326666666666665,1.534,1223300.0
2011-03-31,1.77,1.85,1.914,1.7666666666666666,11517800.0
2011-04-01,1.8299999999999998,1.7773333333333334,1.8786666666666667,1.7713333333333334,2864800.0
2011-04-04,1.7886666666666666,1.722,1.8,1.682,2609300.0
2011-04-05,1.7266666666666666,1.78,1.8,1.7126666666666668,3180900.0
2011-04-06,1.7993333333333332,1.7659999999999998,1.8006666666666666,1.72,1288300.0
2011-04-07,1.79,1.8159999999999998,1.8626666666666667,1.76334,2810300.0
2011-04-08,1.8386666666666664,1.7659999999999998,1.8400266666666667,1.7573333333333332,1946400.0
2011-04-11,1.7646666666666666,1.6846666666666665,1.7686666666666666,1.668,1369400.0
2011-04-12,1.672,1.6433333333333333,1.6806666666666668,1.62,1357400.0
2011-04-13,1.6753333333333333,1.662,1.7126666666666668,1.654,1211500.0
2011-04-14,1.6580000000000001,1.676,1.6853333333333333,1.6133333333333333,983400.0
2011-04-15,1.71,1.7053333333333331,1.7453333333333332,1.694,943500.0
2011-04-18,1.6753333333333333,1.6686666666666667,1.708,1.6239999999999999,1033900.0
2011-04-19,1.6840000000000002,1.6773333333333333,1.6840000000000002,1.6433333333333333,548700.0
2011-04-20,1.7133333333333332,1.7166666666666666,1.7393333333333334,1.6866666666666668,837200.0
2011-04-21,1.7233333333333334,1.7826666666666666,1.7986666666666666,1.7060066666666667,1386100.0
2011-04-25,1.78,1.7593333333333334,1.782,1.7313333333333332,800900.0
2011-04-26,1.7773333333333332,1.7953333333333332,1.8166666666666667,1.7539999999999998,1400000.0
2011-04-27,1.7953333333333332,1.8053333333333332,1.8239999999999998,1.7753333333333332,996900.0
2011-04-28,1.8046666666666666,1.844,1.846,1.7813333333333332,1600000.0
2011-04-29,1.846,1.84,1.858,1.828,726000.0
2011-05-02,1.84,1.8299999999999998,1.8533333333333333,1.8039999999999998,784600.0
2011-05-03,1.8253333333333333,1.7913333333333334,1.826,1.7666666666666666,913900.0
2011-05-04,1.7853333333333334,1.7793333333333334,1.8,1.7166666666666666,1044500.0
2011-05-05,1.8133333333333332,1.7626666666666668,1.8293333333333335,1.7446733333333333,1218500.0
2011-05-06,1.7933333333333332,1.808,1.8466666666666667,1.7746666666666666,981700.0
2011-05-09,1.8,1.8606666666666667,1.8666666666666667,1.79,916400.0
2011-05-10,1.8826666666666665,1.8886666666666665,1.93,1.8606666666666667,1535300.0
2011-05-11,1.88,1.8046666666666666,1.8865666666666667,1.7946666666666669,962500.0
2011-05-12,1.8046666666666666,1.8446666666666667,1.8493333333333333,1.7766666666666666,628000.0
2011-05-13,1.8666666666666667,1.8366666666666667,1.8792733333333334,1.82,661500.0
2011-05-16,1.8659999999999999,1.7733333333333334,1.8659999999999999,1.77,755700.0
2011-05-17,1.8,1.7306666666666668,1.8,1.7146666666666666,1234200.0
2011-05-18,1.74,1.7566666666666668,1.7646666666666666,1.7013333333333334,729500.0
2011-05-19,1.802,1.88,1.8960000000000001,1.7733333333333334,2655100.0
2011-05-20,1.8840000000000001,1.8646666666666667,1.8853333333333333,1.8233333333333335,842500.0
2011-05-23,1.8413333333333333,1.788,1.8413333333333333,1.7746666666666666,863600.0
2011-05-24,1.8013333333333332,1.7813333333333332,1.8333333333333333,1.7733333333333334,613700.0
2011-05-25,1.7933333333333332,1.932,1.9340000000000002,1.7446666666666668,4693100.0
2011-05-26,1.9213333333333333,1.9653333333333334,1.984,1.8733333333333333,3336900.0
2011-05-27,1.9693333333333332,1.97,1.978,1.9213333333333333,1687100.0
2011-05-31,1.9793333333333334,2.009333333333333,2.018666666666667,1.97,3290500.0
2011-06-01,2.0,1.9011333333333333,2.006666666666667,1.892,1529900.0
2011-06-02,1.9013333333333333,1.9173333333333333,1.9546666666666666,1.9006666666666667,986300.0
2011-06-03,1.9966666666666666,2.0086666666666666,2.1,1.9666666666666666,6209200.0
2011-06-06,1.9400000000000002,1.9133333333333333,2.0086666666666666,1.8840000000000001,2331100.0
2011-06-07,1.9293333333333333,1.8913333333333333,1.9593333333333334,1.8840000000000001,1222100.0
2011-06-08,1.8960000000000001,1.808,1.9066666666666667,1.8013333333333332,1695900.0
2011-06-09,1.8286666666666667,1.8413333333333335,1.8733333333333333,1.8066666666666666,1603200.0
2011-06-10,1.8346666666666667,1.8573333333333333,1.8866066666666665,1.8233333333333335,1566600.0
2011-06-13,1.8713333333333333,1.8953333333333333,1.9253333333333333,1.8586666666666665,1713400.0
2011-06-14,1.9026666666666665,1.9066666666666667,1.98,1.9013333333333333,1573400.0
2011-06-15,1.8960000000000001,1.8213333333333332,1.8966666666666665,1.8046666666666666,1345000.0
2011-06-16,1.8446666666666667,1.7666666666666666,1.8666666666666667,1.716,1842200.0
2011-06-17,1.7913333333333334,1.7666666666666666,1.8466666666666667,1.7426666666666666,1714000.0
2011-06-20,1.7526666666666666,1.7340000000000002,1.764,1.7,1537800.0
2011-06-21,1.7493333333333332,1.8353333333333335,1.8486666666666667,1.7333333333333334,1496000.0
2011-06-22,1.8246666666666667,1.814,1.8833333333333333,1.8066666666666666,1475600.0
2011-06-23,1.8133333333333332,1.8473333333333335,1.8479999999999999,1.7473333333333334,1170000.0
2011-06-24,1.8426666666666667,1.8376666666666668,1.8646666666666665,1.8173333333333335,3608500.0
2011-06-27,1.8486666666666667,1.8306666666666667,1.8853333333333333,1.8206666666666667,1809400.0
2011-06-28,1.8526666666666667,1.8739999999999999,1.8833333333333333,1.8446666666666667,889200.0
2011-06-29,1.9,1.886,1.9393333333333334,1.8713333333333333,1461800.0
2011-06-30,1.9,1.942,1.9553333333333331,1.8933333333333333,946700.0
2011-07-01,1.938,1.9346666666666665,1.9733333333333334,1.92,854900.0
2011-07-05,1.9346666666666665,1.9426666666666668,1.968,1.914,996000.0
2011-07-06,1.9426666666666668,1.9306666666666668,1.9426666666666668,1.9033333333333333,926900.0
